Filename,Subject,Vowel,Word,F0,F1_50,F2_50,F3_50,F4,Duration
subj58_m_bata_31,subj58,a,bata,NA,647.0470037319426,1048.7748955145648,2717.638123073215,3764.458950044709,0.08024079240017201
subj58_m_bate_91,subj58,a,bate,NA,583.8068627221425,1224.491485695247,2713.1416493213337,3845.517327824383,0.06786919606663844
subj58_m_beta_65,subj58,e,beta,NA,418.3189728817905,1854.2837152043753,2722.580042608407,3614.6064040666897,0.07687878829599981
subj58_m_bota_36,subj58,o,bota,NA,496.8106506586628,1094.2289628794977,2853.192154451621,3795.43105206651,0.07396915983850505
subj58_m_bote_104,subj58,o,bote,NA,600.5240530390982,2421.4105728712807,3489.706598409034,4722.442034809481,0.06989835126623234
subj58_m_buque_117,subj58,u,buque,NA,376.08408287932104,1715.6687869054456,3311.3752935771427,4166.070672813475,0.03474529833933104
subj58_m_buque_41,subj58,u,buque,NA,346.45331232559977,2080.8569023615228,3437.9724332857577,4660.242323385549,0.06348862339572747
subj58_m_cosa_79,subj58,o,cosa,NA,533.0150103191485,2203.3099356447856,3341.620872047038,4216.98479456163,0.08591486678587046
subj58_m_peca_89,subj58,e,peca,NA,455.3202273249789,1847.630885809823,2868.0151898397025,4096.428013255847,0.08405916427516047
subj58_m_pica_142,subj58,i,pica,NA,278.22139387142875,2360.599238103181,3051.2730926950367,3799.729156255248,0.06548944708103477
subj58_m_pica_39,subj58,i,pica,NA,295.854705929409,2240.200866226217,3274.068413778107,4087.723319380448,0.05959567310622304
subj58_m_pico_115,subj58,i,pico,NA,304.6226832097119,2218.9911864541996,3402.555870980612,4076.203906157416,0.05562447941439075
subj58_m_pico_33,subj58,i,pico,NA,332.944290443611,2221.417244747897,2641.328781077395,3625.708916206209,0.06871346660667399
subj58_m_pite_101,subj58,i,pite,NA,273.27232367487704,2129.228272783247,3136.182931175478,4132.573031152821,0.05594120803137059
subj58_m_quite_44,subj58,i,quite,NA,279.9310770576209,2163.432647781092,2594.481595059131,3676.3298483881176,0.05329832601518092
subj58_m_quite_81,subj58,i,quite,NA,290.4402886750143,2248.2971336799105,3356.2582168459294,4607.365378931219,0.06147254813927816
subj58_m_quite_96,subj58,i,quite,NA,283.2522887934782,2173.76905049229,3182.9084119640656,3617.2548821532914,0.07075336845797153
subj58_m_quito_128,subj58,i,quito,NA,272.32886030154106,1846.3764301324784,3178.935390201848,4133.388220220874,0.05390752749025296
subj58_m_quito_34,subj58,i,quito,NA,314.4141484420104,2566.641389373351,3598.8250268718352,4274.700788096775,0.06614384111865945
subj58_m_saca_50,subj58,a,saca,NA,494.615746999204,1275.5221089297868,2527.271496141277,3937.373629356894,0.10485510763139416
subj58_m_saco_42,subj58,a,saco,NA,532.3247966044846,1472.4969375112864,3303.116758509331,4577.1993204777955,0.11711552933353175
subj58_m_saco_92,subj58,a,saco,NA,656.9719818190385,1279.475293902204,2395.2226563043528,3838.0788128521176,0.08854912344463628
subj58_m_saque_71,subj58,a,saque,NA,644.5645473519232,1491.878809081246,2732.122402607675,3759.1644579000895,0.10039332599761508
subj58_m_saque_95,subj58,a,saque,NA,486.3319466727951,1462.0934035436746,2472.9022329873023,3801.9073410802066,0.0810704990364286
subj58_m_seca_27,subj58,e,seca,NA,498.4608649464436,1726.918880058073,2605.4954307376665,4157.740776894417,0.08701517612781018
subj58_m_seco_124,subj58,e,seco,NA,443.4893093074906,1945.4063788122508,2531.9203358745935,3641.0040524629294,0.08613851514489568
subj58_m_seco_72,subj58,e,seco,NA,441.27994938184133,1817.821092140722,2889.990192635889,4184.63559985514,0.08170432144962092
subj58_m_seque_75,subj58,e,seque,NA,397.1550530724081,1910.4283254444051,2555.081358042122,3905.2681684832633,0.06029808860068897
subj58_m_seque_98,subj58,e,seque,NA,389.84629970797874,2067.695126679586,3060.05839651286,3861.393015472511,0.0851808930803486
subj58_m_supe_102,subj58,u,supe,NA,699.3061654768047,2461.5417880868213,3572.5318442527637,5080.619190438353,0.09381436973254154
subj58_m_supe_60,subj58,u,supe,NA,341.63083317957324,1280.570585093477,3253.317526473291,3558.844411843915,0.07206411584606087
subj58_m_supo_133,subj58,u,supo,NA,418.9982347515375,2158.4936033108625,3425.4066468535016,4842.5727582290765,0.05924871841398271
subj58_m_toca_47,subj58,o,toca,NA,517.0320056558612,2518.3821618063403,3748.319782509033,5214.809651696448,0.08970734946036885
subj58_m_toco_150,subj58,o,toco,NA,465.5018830707078,1210.2900134034828,2734.6346628208285,3777.29884332609,0.05586863920603946
subj58_m_toco_63,subj58,o,toco,NA,579.508733383722,2542.333409021449,3639.134962828604,4921.695013067253,0.08323717365999528
subj58_m_toque_110,subj58,o,toque,NA,404.9943983934088,990.6087108953228,2875.3136089546833,4033.975932390136,0.06296058308754482
subj58_m_toque_67,subj58,o,toque,NA,587.4519339317987,2345.2942630813486,3486.883666179953,4898.219566476906,0.05623682650309547
subj58_m_tusa_135,subj58,u,tusa,NA,340.0617489990233,1795.6338169752885,3066.30645638517,3676.1143745406625,0.0756420448086601
subj58_m_tusa_58,subj58,u,tusa,NA,334.70146777389795,1642.691031335464,3329.4411946117207,4174.184796879067,0.05447054444907451
subj58_m_vara_46,subj58,a,vara,NA,459.09702063164417,948.928193993713,2553.057695059891,3829.065988350839,0.085278571829285
subj58_m_vato_56,subj58,a,vato,NA,504.51798475238473,1013.8086894650952,2654.70060921597,3972.9145576523288,0.08690974146861663
subj58_m_veto_127,subj58,e,veto,NA,440.15172737094053,1907.5835044562243,2638.716777845599,3842.208894379054,0.07971125885110553
subj58_m_voto_121,subj58,o,voto,NA,464.9331039522285,2644.3168917971884,3446.8515160841994,4617.497931622955,0.06755558172415022
subj58_m_voto_37,subj58,o,voto,NA,504.64947463189225,598.6705295775625,2751.569981492492,3967.0406989065377,0.08136352347506204
subj59_m_bote_168,subj59,o,bote,NA,567.7179563671793,1205.6055048352014,3184.849560906364,4092.5703929356055,0.05284394682897186
subj59_m_buque_266,subj59,u,buque,NA,340.2084105950014,1632.8333952525225,3179.6583586228803,4554.034308950822,0.06022388596511519
subj59_m_cura_174,subj59,u,cura,143.68974988602304,442.2095311628564,2751.3779804184633,3823.258757125536,NA,0.09557784814330716
subj59_m_toque_95,subj59,o,toque,NA,525.8024467696223,2466.530117725075,3553.8447729423656,4645.743698753477,0.05924722558175688
subj60_m_baso_362,subj60,a,baso,NA,700.5892992918402,1265.323260030402,2372.2327292028676,4200.411781250173,0.1838541643258509
subj60_m_coro_200,subj60,o,coro,135.46101111426705,618.7581620639343,2515.1090923957613,3511.154843765867,NA,0.16732864402567316
subj60_m_vara_180,subj60,a,vara,NA,756.2871546238024,1241.2473997095744,2396.0649607827527,4088.3022466962175,0.16990770851111847
subj61_m_cura_298,subj61,u,cura,139.17016465083915,511.78886208871614,2603.6974553498776,3474.3602197032865,NA,0.13509800156236906
subj62_m_supe_72,subj62,u,supe,151.57509573542643,417.159360960236,2483.4712853794845,3471.8213725470773,NA,0.0651363267632803
subj63_m_quite_288,subj63,i,quite,NA,293.6444670944092,2430.454738632281,3359.5735845262225,3602.6011746529325,0.06739133692701671
subj63_m_toque_226,subj63,o,toque,NA,658.0118612727915,687.3573910738676,2981.910130148288,4025.993567561078,0.10042531032456736
subj64_m_pisa_260,subj64,i,pisa,NA,891.555300080838,2594.605993542067,3458.5372195473446,4034.602175573574,0.0936005264935602
subj64_m_pite_282,subj64,i,pite,NA,1864.52597744475,3027.4811636647264,3652.6175304113967,4305.031453379624,0.09396630377528936
subj64_m_quito_313,subj64,i,quito,NA,251.09750506456243,2194.488767524383,3200.5130961983405,3738.8719703700344,0.0741172504295946
subj65_m_pisa_56,subj65,i,pisa,NA,224.08303985381025,2196.9530325357973,2713.880356399866,3592.0029125992833,0.14872248546418376
subj65_m_pite_251,subj65,i,pite,NA,222.4678228618796,2190.393791944153,2607.52374477811,3394.3902044988413,0.0832141352958331
subj65_m_pura_350,subj65,u,pura,NA,683.5585323527913,2879.013440471154,3277.3389909881676,4505.4304947627925,0.1493584282063125
subj65_m_quito_256,subj65,i,quito,NA,268.6408700399409,2295.066659939723,2618.6913174916426,3726.341347057051,0.05569004921218834
subj65_m_seso_360,subj65,e,seso,NA,571.8950118720985,1537.280572792314,2377.5567815111945,3481.601217830597,0.09310547384296795
