Filename,Subject,Vowel,F0,Z_F0
i_subj51_f_quito_260,subj51,i,120.0267078119644,-3.2645236378580433
e_subj56_m_seco_174,subj56,e,505.43403566345194,3.3215224437833264
u_subj70_m_supo_50,subj70,u,0,-3.3174787508967274
i_subj67_m_quito_299,subj67,i,135.14982029189014,3.060247310887004
e_subj33_f_seca_219,subj33,e,249.50179623784504,2.9045098330138517
a_subj33_f_baso_213,subj33,a,113.55650896979256,-3.2449523016501187
u_subj10_f_tusa_60,subj10,u,182.97358900217415,-2.8027992509533632
a_subj17_f_bata_274,subj17,a,108.15860804641798,-3.7423986791078057
a_subj50_f_saca_40,subj50,a,212.1228468657694,2.56245594954352
e_subj2_f_vete_118,subj2,e,99.157576774766,-3.6251387243823388
a_subj60_m_saca_350,subj60,a,359.21865690481286,3.317796001281597
i_subj18_f_pica_320,subj18,i,117.32050252542211,-3.43660323310236
e_subj8_f_seque_176,subj8,e,93.5807342684615,-3.648123495529383
u_subj62_m_tusa_134,subj62,u,82.95721000358218,-3.0329401300796004
i_subj8_f_pite_50,subj8,i,229.1679535084838,2.5328083419368292
i_subj37_f_quite_156,subj37,i,76.07354266154002,-3.4069082081815485
o_subj31_m_cosa_243,subj31,o,150.62131648900646,2.5127348854801
o_subj52_m_toco_75,subj52,o,527.5121299244348,3.7475194573871726
i_subj31_m_pica_364,subj31,i,290.7785888335809,3.5028079245367727
e_subj81_m_beta_256,subj81,e,0,-3.44485493938238
