Filename,Subject,Vowel,Word,F0,F1_50,F2_50,F3_50,F4,Duration
i_subj67_m_viso_136,subj67,i,viso,115.32020530520016,309.6482971033908,2175.8096387452547,2769.146347808733,NA,0.10184690465788436
u_subj75_m_buque_62,subj75,u,buque,113.408630336401,338.8016680766184,745.5790525981577,2543.716094297139,NA,0.12914121118767383
u_subj68_m_tusa_172,subj68,u,tusa,142.368270164925,375.0338148617972,998.2282655632374,2692.581877532105,NA,0.1176477314174008
i_subj69_m_quite_268,subj69,i,quite,135.70082227288682,273.3522602973288,2248.178046737916,3188.21031923254,NA,0.06204740021186125
i_subj81_m_quita_149,subj81,i,quita,113.681481900397,279.881102099919,2323.2882514169787,3066.174611416549,NA,0.08793538569775591
u_subj13_f_cuco_226,subj13,u,cuco,250.3270438305742,458.4585978506957,1124.3971257402904,2605.292039789926,NA,0.16019421148353674
o_subj77_m_bota_166,subj77,o,bota,94.62131430150492,450.0572564846192,822.5281323818265,2693.2991949679736,NA,0.1481110476366837
i_subj4_f_quita_169,subj4,i,quita,223.5102692110787,444.84572100516186,2810.8901047496224,3408.4347420543545,NA,0.12481435360703017
i_subj79_m_pisa_240,subj79,i,pisa,127.0105465207354,298.79473647881775,2495.006449536737,3265.205401851994,NA,0.06566737357993588
u_subj80_m_tusa_64,subj80,u,tusa,126.39901364839828,292.55714568403005,1253.0893216106344,2351.588772182108,NA,0.08390364021399818
u_subj80_m_supe_303,subj80,u,supe,139.64031321444125,375.2894202197317,1353.946166404709,2422.8416294118083,NA,0.07079816624766408
i_subj55_m_pico_266,subj55,i,pico,115.42010490553804,320.3163262561071,2256.76448268571,2799.107208460114,NA,0.1323336685628874
i_subj75_m_pica_211,subj75,i,pica,125.4390971834026,324.6093453207455,2087.7501760857203,2744.760993007297,NA,0.11906711367498132
i_subj56_m_pite_68,subj56,i,pite,109.8334984017977,297.9002126041801,2337.646404955642,2981.486791291253,NA,0.0908707970072072
u_subj56_m_supo_93,subj56,u,supo,112.4554896533146,351.56036436561885,969.721127412406,2551.2947380282367,NA,0.09347263488742782
e_subj71_m_seque_341,subj71,e,seque,123.42473226284002,485.5884765400614,1811.4770905446185,2539.9471375576,NA,0.13981181557786615
i_subj68_m_viso_178,subj68,i,viso,130.265352658325,349.5564417657524,2325.31814988279,2952.7558348872053,NA,0.10629934657557669
i_subj71_m_pisa_75,subj71,i,pisa,134.24504055811727,282.5676619811234,2163.5589998865107,2781.236760430092,NA,0.13192503302753664
e_subj80_m_seco_129,subj80,e,seco,134.45160131777322,537.7991761023377,1702.504107781337,2433.223874590654,NA,0.08830054123557715
o_subj67_m_toca_296,subj67,o,toca,115.18793508253565,539.9860088593211,1255.8040502432934,2505.6786657730854,NA,0.07366986851965293
i_subj8_f_pico_183,subj8,i,pico,201.44149506605956,377.46393266665234,2839.5868721035636,3181.843304179481,NA,0.1232937167469231
i_subj70_m_quito_133,subj70,i,quito,114.55683349067768,263.8883691508369,2171.135435498447,2833.453769804534,NA,0.10465453681111966
i_subj61_m_viso_183,subj61,i,viso,122.75911235517606,303.16624242715534,2127.3015787865747,2529.7516732005615,NA,0.14963920661957675
e_subj5_f_seso_75,subj5,e,seso,207.57949715883092,549.2184573723382,1942.1518426923064,3374.0695839542445,NA,0.11064634937981452
i_subj71_m_pite_93,subj71,i,pite,128.51042655706553,274.36326765890993,2290.5345183443123,2955.093693847312,NA,0.13578671329305222
i_subj3_m_quite_57,subj3,i,quite,125.35329677608657,293.281097847806,2514.652250764517,3042.2678176788304,NA,0.09125923728608284
i_subj30_f_quito_228,subj30,i,quito,218.92027646088792,314.890197070875,2257.997504447856,3243.916224905547,NA,0.10193037513908508
i_subj71_m_pico_255,subj71,i,pico,127.00567849630012,318.4903971494899,2106.0132025521552,2599.9478446609614,NA,0.12042254879454505
i_subj53_m_pico_39,subj53,i,pico,117.61099832675217,255.21080797367244,2487.4123623614855,3282.2734838490496,NA,0.0718215020692142
i_subj9_m_pico_326,subj9,i,pico,150.50504107709526,301.7462138161891,2322.4850542451595,2677.332617823782,NA,0.11990975756187935
e_subj67_m_vete_142,subj67,e,vete,107.04166040980635,497.5757639501334,1795.0034812727065,2678.8390794693955,NA,0.09618408263312404
e_subj80_m_seca_343,subj80,e,seca,134.44192643855163,517.4998508520544,1785.7763331790236,2431.276919514827,NA,0.08617145152217062
i_subj25_f_quito_59,subj25,i,quito,214.42870523822117,352.9105312396984,2803.9307591754696,3288.544913549962,NA,0.08408128468606577
o_subj81_m_cosa_279,subj81,o,cosa,103.91913289170844,461.755380690263,896.8672374779218,2532.7019918571073,NA,0.1349667608213508
i_subj10_f_pite_87,subj10,i,pite,204.03887891535507,361.0534242116704,2915.6049440651473,3472.4199335917783,NA,0.09523645277897116
i_subj74_m_pica_49,subj74,i,pica,137.82128639883285,257.51659109729997,2306.672367917631,3243.9256973899705,NA,0.08478196823849657
u_subj74_m_supo_158,subj74,u,supo,134.66003796497972,334.4575935474375,867.1981522270551,2299.7958754495385,NA,0.09666451001154427
e_subj80_m_peca_199,subj80,e,peca,136.27829575104576,516.8367036016806,1827.0095489715204,2413.22031982473,NA,0.0973958258765549
o_subj71_m_coro_167,subj71,o,coro,133.85906140539058,423.33115937457126,948.4922098246246,2457.6821387715536,NA,0.1768094006568447
i_subj51_f_quita_305,subj51,i,quita,240.8892431641137,333.86326069133014,2904.002999162567,3250.48540817901,NA,0.07382252810898535
i_subj15_m_pisa_61,subj15,i,pisa,189.05292087011944,321.8503962599632,2301.6296603738933,2873.749579243395,NA,0.14109003266198672
o_subj77_m_bote_293,subj77,o,bote,96.51959819142924,446.9481945703797,830.6326136981859,2640.0450075400768,NA,0.1633079459403689
e_subj42_f_seso_176,subj42,e,seso,195.8514556406136,516.4992977522364,1772.939949467579,2914.428005200312,NA,0.11694887713559296
o_subj31_m_toco_409,subj31,o,toco,117.80908000046853,452.4330888541482,923.381957215758,2567.430844926406,NA,0.11687959994653738
