Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-vdsq,branch-kcrj,Randomise questionnaire elements?,Question Key,Response
1,1669956855397,02/12/2022 04:54:15,1669956855449,-6,01/12/2022 22:54:15,92237,21,questionnaire-7e5k,,25622707,BLIND,7588939,,complete,,638984f0a96d0ca0744ff87f,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1920x1080,1920x929,,Consent,6,Block 1-A,soundCheckPassed,No,BEGIN QUESTIONNAIRE,
2,1669956863812,02/12/2022 04:54:23,1669956863926,-6,01/12/2022 22:54:23,92237,21,questionnaire-7e5k,,25622707,BLIND,7588939,,complete,,638984f0a96d0ca0744ff87f,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1920x1080,1903x929,,Consent,6,Block 1-A,soundCheckPassed,No,response-1,1
3,1669956863959,02/12/2022 04:54:23,1669956863927,-6,01/12/2022 22:54:23,92237,21,questionnaire-7e5k,,25622707,BLIND,7588939,,complete,,638984f0a96d0ca0744ff87f,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1920x1080,1903x929,,Consent,6,Block 1-A,soundCheckPassed,No,END QUESTIONNAIRE,8478
1,1669955587968,02/12/2022 04:33:07,1669955587600,-5,01/12/2022 23:33:07,92237,21,questionnaire-7e5k,,25622591,BLIND,7588908,,complete,,63897ff755f349851d5528cc,mobile,Apple iPhone,iOS 15.6.1,Mobile Safari 15.6.1,390x844,390x664,,Consent,6,Block 9-A,soundCheckPassed,No,BEGIN QUESTIONNAIRE,
2,1669955591332,02/12/2022 04:33:11,1669955591063,-5,01/12/2022 23:33:11,92237,21,questionnaire-7e5k,,25622591,BLIND,7588908,,complete,,63897ff755f349851d5528cc,mobile,Apple iPhone,iOS 15.6.1,Mobile Safari 15.6.1,390x844,390x664,,Consent,6,Block 9-A,soundCheckPassed,No,response-1,1
3,1669955591765,02/12/2022 04:33:11,1669955591065,-5,01/12/2022 23:33:11,92237,21,questionnaire-7e5k,,25622591,BLIND,7588908,,complete,,63897ff755f349851d5528cc,mobile,Apple iPhone,iOS 15.6.1,Mobile Safari 15.6.1,390x844,390x664,,Consent,6,Block 9-A,soundCheckPassed,No,END QUESTIONNAIRE,3465
1,1669955455838,02/12/2022 04:30:55,1669955456761,-6,01/12/2022 22:30:56,92237,21,questionnaire-7e5k,,25622578,BLIND,7588905,,complete,,63897f49614bef2fcf2fc603,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1536x864,1536x722,,Consent,6,Block 6-B,soundCheckPassed,No,BEGIN QUESTIONNAIRE,
2,1669955469068,02/12/2022 04:31:09,1669955470012,-6,01/12/2022 22:31:10,92237,21,questionnaire-7e5k,,25622578,BLIND,7588905,,complete,,63897f49614bef2fcf2fc603,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1536x864,1519x722,,Consent,6,Block 6-B,soundCheckPassed,No,response-1,1
3,1669955469204,02/12/2022 04:31:09,1669955470015,-6,01/12/2022 22:31:10,92237,21,questionnaire-7e5k,,25622578,BLIND,7588905,,complete,,63897f49614bef2fcf2fc603,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1536x864,1519x722,,Consent,6,Block 6-B,soundCheckPassed,No,END QUESTIONNAIRE,13254
1,1669954085142,02/12/2022 04:08:05,1669954084841,-6,01/12/2022 22:08:04,92237,21,questionnaire-7e5k,,25622496,BLIND,7588888,,complete,,63897a16875ed55c8f8cb4bd,mobile,Apple iPhone,iOS 15.6.1,Mobile Safari 15.6.1,414x896,414x719,,Consent,6,Block 2-B,soundCheckPassed,No,BEGIN QUESTIONNAIRE,
