Filename,Subject,Vowel,F1_50,Z_F1_50,F2_50,Z_F2_50,F3_50,Z_F3_50,F4,Z_F4
a_subj45_f_saco_260,subj45,a,1032.3118472165088,2.672512344526258,1766.1066579437545,1.94493519385083,2995.8167630379303,1.189010309867225,4110.237964410779,0.097267854660186
a_subj21_f_bate_196,subj21,a,962.8132134851436,2.3117593386806186,1708.9519835118624,3.156541940132106,2841.074560959168,1.3577739196814125,3965.120611443423,0.6460022043007188
a_subj38_f_bate_99,subj38,a,903.2892504119832,2.605737170378021,1569.1775792829162,-1.417391166336929,2925.143497411408,1.0075812638154789,4095.82765203631,-0.5026789929657665
a_subj52_m_baso_223,subj52,a,924.258361770192,3.39921114947211,2309.556058796023,3.600483891029713,3544.066406916294,3.5867763464147515,5301.412226440827,3.624410338179982
o_subj14_m_bota_205,subj14,o,508.5619561314856,0.017779919060329,850.3740799078194,-0.5279015780406848,2764.875224254468,2.509040829134667,3095.385409122672,-0.7583599218552552
e_subj48_f_seso_210,subj48,e,593.3773947198526,0.6678551674557922,2750.6385322012466,2.5247326628664117,3158.0977640570864,-0.4117169812019521,4553.204230275307,1.058011418987939
o_subj50_f_toco_282,subj50,o,634.3997104286217,1.1078245987211486,2619.723415470738,2.400727418101497,4253.899344203555,2.58530318907523,4871.367671328338,2.441405192453386
u_subj23_f_supo_233,subj23,u,790.7486634656358,2.6617552253233727,2838.169907637288,2.438083273169899,4325.305359436899,2.224791345742424,4508.843272933042,0.8945101181832312
a_subj20_m_saca_94,subj20,a,924.614956428447,1.9517239927796275,1830.8742911641536,3.1654999544074407,3794.265054058223,3.374615649261247,5227.550843400284,3.160696411784174
o_subj19_f_voto_231,subj19,o,852.9878615663326,3.640714874921634,2985.938519208342,3.681066377142257,3851.1309923141744,3.440578269209202,5447.343369046699,3.4572277818316497
a_subj69_m_saque_304,subj69,a,750.0587165460876,-0.2702382846777825,1764.6472199292994,3.40101714894338,2769.7790422676453,1.9908633144278536,3807.511917066517,1.9166295944023324
u_subj69_m_buque_301,subj69,u,703.9408086931152,2.5480805979706016,2486.428189532716,2.567594333771176,3724.62636536146,2.393129716678337,4078.6199100556632,1.3282570707645651
i_subj25_f_pica_282,subj25,i,396.1535805712759,0.5406261857105248,2939.882647691156,1.3718067341245972,4197.8720289449575,2.896481397388928,4844.074553984857,2.098717309596269
u_subj15_m_buque_163,subj15,u,548.4090107387094,3.4441183597932685,2706.827175009096,3.4746436795913955,3483.4231452652984,3.343265786046233,4141.812327175385,3.13539817817502
