Filename,Subject,Gender,Vowel,Word,F0,F1-10,F1-20,F1-30,F1-40,F1-50,F1-60,F1-70,F1-80,F1-90,F2-10,F2-20,F2-30,F2-40,F2-50,F2-60,F2-70,F2-80,F2-90,F3-10,F3-20,F3-30,F3-40,F3-50,F3-60,F3-70,F3-80,F3-90,F4,Duration
subj10_f_peca_119,subj10,f,e,peca,208.01692860573687,539.1103507916441,563.4328798756969,573.5142292466564,571.7628985198573,560.0757941032952,554.1615997906968,530.0551904931941,475.09486189354016,381.0628408686385,2008.090553612855,2106.4573214284464,2205.860486782445,2297.0983354851373,2363.689701912918,2460.026999515075,2550.5154607806207,2584.34102677658,2478.418235163265,3102.7604774944693,3149.13843793182,3211.823528468117,3181.8457467529793,3208.4970555309724,3189.0596088467682,3156.6873723071885,3117.8151899759355,3060.2243821261964,4492.15852284808,0.07836941029144384
subj10_f_peca_155,subj10,f,e,peca,209.21076880923357,502.00282116542854,526.777286088344,546.2160550032704,558.428035051575,561.5713623458411,543.2564741929924,501.6743674487118,475.3302984109989,415.9660636302786,2080.3482717229867,2144.5005740945994,2299.8612300689188,2427.717353899663,2532.74681496614,2504.31934377987,2323.7305752067914,2396.8593217100843,2182.499058080973,3154.0524773046504,3163.817523604553,3211.478575520906,3195.087015175809,3221.7902178206596,3243.833999885751,3163.3114174217544,3108.637034941419,3034.2035434026175,4683.474009603296,0.08529742627132464
subj10_f_pica_112,subj10,f,i,pica,212.88911391539392,354.5261821273869,365.7759229916471,360.30533732871976,355.365753229056,349.9578968228282,339.4406547265682,313.87597657398584,269.5586058246609,634.48989506328,2572.6885306273803,2884.6543835416346,2856.4018820837982,2876.2038163009606,2897.015664770658,2961.8826995998625,2985.225945231058,2898.2091560260274,2887.175714832226,3311.1822544239103,3564.8586135462324,3664.7659052230756,3719.9327302257625,3764.7711571220216,3789.523067863981,3696.420914814764,3596.8434732695046,3679.8489209531517,4573.839484832363,0.0840595906234114
subj10_f_pica_205,subj10,f,i,pica,231.6007320778203,391.05982217585745,408.5335523451408,424.6695813681733,459.1153364520949,514.2952490590437,429.6598503154175,364.14487573843434,534.4942972935296,735.9427410166892,2719.4040552852925,2878.5013090422412,2890.9633338604053,2878.4987411074703,3021.3711291484524,2977.1227704212497,3084.1825046101085,2963.904522085214,2706.4286974384927,3402.7474485426437,3496.241141429559,3532.1529249985833,3524.241370758246,3519.6608734511924,3514.920266499555,3630.9543108609105,3626.7227171641107,3581.3518271684925,4572.485923636062,0.08083860517817243
subj10_f_pico_186,subj10,f,i,pico,197.32585530745266,363.0583166251263,372.3837148947611,377.014414962907,375.917492088189,371.6780918417073,367.3631008112886,363.58316077521084,356.1911410550346,346.80596109445264,2528.2128619075106,2690.7237780978658,2793.8524492656916,2824.5336287327877,2812.091450983648,2833.1926008912747,2927.2339945353706,2957.477447154138,2927.02140472133,3316.6956220503776,3436.7552257694074,3514.4605842433066,3540.492941305369,3587.8792649312545,3604.856469210276,3559.5387683986096,3542.92119069759,3505.3503209566784,4542.13333875728,0.06440692049335439
subj10_f_pico_46,subj10,f,i,pico,208.3993741390586,319.5540307808023,349.69073010118655,371.0661572047851,376.4234972206399,376.59348592141725,371.3677703348852,518.00107137137,1529.1644558248518,1768.2220057073544,2499.035190111456,2716.960720030742,2904.5846437854816,3032.1113414365527,3004.565966091985,3073.759202792216,3191.118984198202,3149.8531644459263,2977.3011739977674,3123.350706085892,3274.0537578465187,3436.1667816581266,3607.4550403762396,3597.3143293369662,3436.5424755712006,3295.9003283833244,3891.0690258957256,4114.825092121069,4628.8673878628815,0.07076726111893095
subj10_f_pisa_166,subj10,f,i,pisa,222.70123428175827,354.5513730045785,376.82626889575533,378.65328227739576,377.68726708830224,385.39471865325606,397.2688383080868,405.758247292885,389.324689023538,365.08164264083143,2424.0070942282587,2621.9684644684144,2714.2145928043524,2725.698361550427,2740.3894473363716,2715.8293772515694,2678.0374871240433,2694.2640403851387,2547.6220656523665,3043.0846450452063,3168.238825440498,3277.0233576000596,3324.1722168305782,3310.4077638840176,3350.129764481265,3324.8987036705707,3401.826505824773,3316.302995772174,4548.5115099020995,0.08866348192040618
subj10_f_pisa_82,subj10,f,i,pisa,205.0041078596717,334.68527962566765,360.24754511655885,366.35316992290905,368.40013056585246,366.33287129486484,359.2508331209649,350.62950243732536,340.6632026384066,335.95233076467133,2502.6871059057585,2846.6684137318957,2912.900801542844,2895.8100806900725,2778.7091000841842,2741.714545420235,2720.0436181298523,2696.957183290042,2644.8325795990513,3125.868643375775,3385.465864778803,3567.872930033683,3653.748370295172,3592.512174842349,3559.5405408433367,3529.9684021612748,3494.935591089251,3466.897444490858,4628.817010785324,0.0646675685997451
subj10_f_pite_216,subj10,f,i,pite,223.61384249570733,360.27745525247803,368.76034034757555,361.6620247665374,355.97991265938526,351.1676291023629,348.86715251442087,344.0413375750937,337.00359161140864,320.23887221973445,2696.218648415468,2871.2844868211587,2811.087988405774,2776.5091016722527,2751.051643902364,2734.414669090371,2720.8550174118836,2709.9907774223857,2695.8100347652767,3274.5644227693315,3401.61019053374,3434.2348309094687,3469.157894773879,3505.231710786729,3543.937262463826,3512.5290634333687,3419.708586583164,3368.292581810094,4488.862058447456,0.06173235626081919
subj10_f_pite_87,subj10,f,i,pite,204.36260613318595,342.9346874541819,376.3252057006332,374.41409766605756,371.6876981764891,370.2148104905555,372.3772561137803,368.4152649091867,360.36255566537204,346.48334562111785,2463.752366865155,2870.001222505388,2867.855442905155,2842.2262617595356,2824.0912507555395,2844.1428450828057,2837.3053173116127,2764.784628157119,2610.946992351384,3031.366538149766,3179.69761995653,3335.2786105142195,3422.6296786809303,3474.0713468270683,3502.3436578370192,3457.057200200375,3356.8764298895385,3209.0662201604823,4565.704182401806,0.07023645277897117
