Filename,Subject,Vowel,F0,F1_50,F2_50,F3_50,F4,Duration
o_subj81_m_voto_236,subj81,o,105.13710501944615,432.6413288221764,787.9409814263158,2735.3125734922414,3154.702052061696,0.1256749574135312
u_subj3_m_pura_183,subj3,u,137.00792790202038,380.0406317701814,834.9826410265625,2643.007039464137,3299.717972430997,0.1487790959890503
a_subj50_f_saque_249,subj50,a,180.4128640613828,454.0890279725437,920.6587017231828,1708.391326763301,2308.016533926686,0.1296504029522168
a_subj13_f_bate_90,subj13,a,215.52636983362527,825.4418693659183,1614.8425028841295,2921.2796343912096,3873.4659265629743,0.1642623538507962
u_subj69_m_supe_58,subj69,u,154.3474554109123,347.85738067598345,1037.1077919499985,2372.83245086919,3625.757368511702,0.090920995981628
o_subj48_f_cosa_159,subj48,o,210.4068490002477,502.60690432702734,1041.7915626840677,3001.592227612118,3861.9196976272447,0.15357777013744
i_subj54_m_quite_251,subj54,i,88.06225656519622,307.3606528963775,2553.491069210549,3174.587254939118,3890.035943731105,0.1017993891301159
u_subj49_f_cuco_300,subj49,u,216.3124543825713,404.6647344336682,844.3937701820154,2990.3827867540317,3937.553575888367,0.1234068137919393
u_subj53_m_buque_56,subj53,u,120.7990565934077,289.5017070124695,766.8350110267961,1621.7170579783017,2411.877095702699,0.1324827489791019
a_subj32_f_saque_205,subj32,a,196.53893383308653,915.42618133768,1547.915312360861,2550.936029247025,4351.859332274498,0.1562405591905303
o_subj64_m_toca_123,subj64,o,124.760941906452,463.6741286916912,955.1630244544152,2379.170869911848,2981.68115259686,0.121587214896104
i_subj18_f_viso_341,subj18,i,223.08557858287048,367.5009538222646,2656.018805969932,3369.748333449842,4524.136761849738,0.186211793248583
o_subj68_m_toca_143,subj68,o,138.56507577507574,599.2470792412707,966.29794248216,2710.5283492022163,3337.9996010347545,0.1259151430617976
i_subj26_f_pica_227,subj26,i,207.2294827,377.95140454334273,2537.8739110637835,2988.830174029031,3946.4558008667177,0.1135457476745443
a_subj55_m_vara_59,subj55,a,109.93047927464056,711.939980144704,1370.033661352831,3060.283627840377,3703.1920387842183,0.1477095225767343
o_subj51_f_cosa_139,subj51,o,225.1873915043311,508.4593012286813,1020.3425631064824,3062.826741723502,4093.893904620882,0.1343916515896751
e_subj49_f_peca_333,subj49,e,222.13439140972855,581.9502489308362,2035.3180404253053,3026.0138455148176,3941.493791370732,0.1326348535218585
a_subj75_m_saco_257,subj75,a,111.72449089733446,756.0594997814227,1259.1366001634851,2476.4237235382966,3361.858078274995,0.1503248171809105
