Filename,Subject,Vowel,F0,F1_50,F2_50,F3_50,F4,Duration
subj4_f_quite_151,subj4,i,209.35284975174395,412.81421889967066,2857.005645456784,3539.0146522501686,4692.924013911607,0.07911002380799914
subj4_f_quite_238,subj4,i,224.24227542237975,452.5614176763256,2907.7177918047505,3555.9127948418613,4673.159369228839,0.08778804022495024
subj4_f_quito_156,subj4,i,207.2597306129844,406.0856166175418,2814.4537067945616,3266.75454352159,4488.565542393489,0.09497773287174029
subj4_f_quito_241,subj4,i,212.0312769522539,352.50847136269897,2900.457997247331,3098.4072993967616,4322.5356322973885,0.06129832671695112
subj4_f_saca_300,subj4,a,213.934643181016,937.2949105442932,1918.7942113012195,3011.8176092050235,4418.1881336987435,0.10745560201434046
subj4_f_saca_38,subj4,a,232.084391352308,846.809288304323,1808.5797707919944,2524.2544746659246,2898.5020912351274,0.10902386704439948
subj4_f_saco_106,subj4,a,219.29448925470044,880.684240230828,1954.0919962215396,2893.554368423782,4201.58400501924,0.11593974378853034
subj4_f_saco_260,subj4,a,203.38114994825077,901.33488258312,2255.486712262173,2605.293028281984,4437.25080020159,0.1376307193245907
subj4_f_saque_211,subj4,a,106.22277112568086,828.9536755632225,1975.959359210023,2849.57569597852,4559.265318867964,0.10721311947796151
subj4_f_saque_275,subj4,a,214.32374439886215,835.6030701244703,1794.134156631015,2603.63004352754,3915.398232712346,0.12484468548842642
subj4_f_seca_141,subj4,e,223.48775903504367,645.998911886161,1668.264695437636,2420.3462625679667,3436.8580613723007,0.09056831003960042
subj4_f_seca_286,subj4,e,218.47446514381545,671.9648388575805,2452.135158689676,3158.927870216874,4776.259621510684,0.08733136066507541
subj4_f_seco_191,subj4,e,216.76989369264612,610.9247404115746,2527.5488029654143,3228.1824064053085,4346.351779717651,0.09884149675596632
subj4_f_seco_256,subj4,e,222.04756729909593,668.3726310598378,2293.9787757806575,3110.5779726771,4397.373851380968,0.10902717554438368
subj4_f_seque_111,subj4,e,217.8961334376503,284.58702563775336,840.1925338049841,2624.7497898743604,3340.848103632341,0.0773393848952395
subj4_f_seque_230,subj4,e,208.81601077654895,606.791384941496,2504.151998964225,3210.086367823738,4506.6609526224265,0.08448907864041644
subj4_f_seso_131,subj4,e,213.1870718997143,631.9415079786481,1450.9153965028745,2264.024890710299,3235.436033253744,0.12605169483876466
subj4_f_seso_311,subj4,e,222.41105432367016,641.4224733124553,2057.312114878732,3120.066660976905,4513.673110825165,0.1012347575099284
subj4_f_supe_195,subj4,u,232.3396326571884,442.4152950931711,1208.0141859374878,3170.2643000788757,4401.899814731944,0.13237011814644006
subj4_f_supo_322,subj4,u,233.0229212878869,442.8591391842328,1555.5441278110925,3134.033166091787,4325.50227055908,0.11629204799544368
subj4_f_supo_342,subj4,u,229.3344051391122,454.93652926643693,1202.039407195026,3053.8744959113187,4255.41386479176,0.13722019366656468
subj4_f_supo_96,subj4,u,241.22271305946907,461.63731334422306,1281.323563397116,2948.723173840067,4379.1904977999275,0.13966169318143784
subj4_f_toca_179,subj4,o,217.8357943361308,526.9985582190496,1140.3493952710908,2856.353870567365,4118.880070897334,0.12124895079472252
subj4_f_toca_358,subj4,o,221.8580693527858,509.0503344758153,1106.05765247905,2990.074490410726,4419.350848408578,0.10563242680001396
subj4_f_toco_183,subj4,o,213.43081638951944,533.6700718939117,1082.513379668727,2882.9081749684397,4006.5832334638008,0.12094216164706496
subj4_f_toco_248,subj4,o,215.04205432713897,581.9317745176443,1082.77554435733,2911.4471719893627,4201.26299940671,0.10613027578256153
subj4_f_toque_173,subj4,o,210.0623586671034,543.5444960270208,1119.7894294602434,2971.1241885529503,4254.501252133899,0.1140022185158216
subj4_f_toque_279,subj4,o,219.8368149805702,560.8627206962644,1213.981942065177,3095.052923298411,4311.629331784188,0.1177481577196886
subj4_f_tusa_234,subj4,u,227.572367043704,435.28824682036463,1410.3069539935152,3075.632355994894,4203.761898739119,0.09770322361663376
subj4_f_tusa_92,subj4,u,247.99090199853455,480.3006886532855,1131.5913497828676,2820.9267991591305,4009.878549792938,0.11553673064980784
subj4_f_vara_226,subj4,a,213.2342631851119,861.2260815848576,1878.859680308057,2901.172087727089,4189.996651422144,0.16431250029566513
subj4_f_vara_82,subj4,a,216.34819925019275,962.1088945363424,1884.3189277126492,3018.883155263732,4354.752959614233,0.16407166626072467
subj4_f_vaso_349,subj4,a,212.950014435352,938.0386538024314,1749.487642964317,2960.9222220980314,4385.233287915393,0.14942734925773493
subj4_f_vato_187,subj4,a,202.34727108454757,942.7746713474525,1811.619471109427,2950.961912714395,4143.111019828992,0.13101312377756358
subj4_f_vato_319,subj4,a,217.7077612940938,828.5463112902673,1704.289617685875,2903.4064657876243,3955.805654574821,0.12262758540759933
subj4_f_vato_368,subj4,a,212.24269358217867,980.0516108246844,1840.5303259497537,3047.255229317729,4446.2417855729045,0.14332798594580254
