Subject,Gender,Vowel,Max_Formant
subj46,f,i,6368.421052631578
subj53,m,a,5315.78947368421
subj64,m,u,4473.684210526316
subj22,f,o,5736.842105263158
subj47,f,o,5526.315789473684
subj5,f,a,5105.263157894737
subj46,f,u,4894.736842105263
subj38,f,i,6157.894736842105
subj18,f,o,5947.368421052632
subj15,m,o,4684.210526315789
subj79,m,a,5736.842105263158
subj54,m,o,4052.6315789473683
subj1,m,a,5736.842105263158
subj72,m,o,4473.684210526316
subj27,f,e,6789.473684210527
subj54,m,a,5736.842105263158
subj3,m,o,4052.6315789473683
subj80,m,a,4052.6315789473683
subj16,f,e,6578.9473684210525
subj6,f,o,5315.78947368421
subj5,f,a,4894.736842105263
subj50,f,e,5526.315789473684
subj11,m,u,4473.684210526316
subj66,m,o,3842.1052631578946
subj52,m,a,5526.315789473684
subj70,m,a,4052.6315789473683
subj56,m,u,4263.157894736842
subj12,f,e,6157.894736842105
subj50,f,u,5736.842105263158
subj69,m,e,5315.78947368421
subj69,m,a,5315.78947368421
subj6,f,i,5105.263157894737
subj75,m,u,3631.578947368421
subj74,m,o,3842.1052631578946
subj66,m,u,3000.0
subj23,f,e,5526.315789473684
subj72,m,u,4684.210526315789
subj36,f,i,6157.894736842105
subj5,f,u,4684.210526315789
subj51,f,a,5315.78947368421
subj56,m,e,5105.263157894737
subj63,m,e,4684.210526315789
subj15,m,i,5526.315789473684
subj10,f,u,5526.315789473684
subj63,m,o,4684.210526315789
subj73,m,i,4894.736842105263
subj9,m,o,4684.210526315789
subj31,m,u,4473.684210526316
subj29,m,a,5736.842105263158
subj70,m,i,4473.684210526316
subj70,m,o,4052.6315789473683
subj7,f,a,5315.78947368421
subj31,m,a,4052.6315789473683
subj76,m,e,4684.210526315789
subj60,m,i,5736.842105263158
subj15,m,o,4263.157894736842
subj25,f,u,5947.368421052632
subj17,f,u,4894.736842105263
subj7,f,a,6368.421052631578
subj74,m,i,4894.736842105263
subj73,m,e,4473.684210526316
subj24,m,e,3842.1052631578946
subj9,m,i,4263.157894736842
subj50,f,a,4473.684210526316
subj6,f,a,6578.9473684210525
subj31,m,a,3842.1052631578946
subj16,f,i,5947.368421052632
subj41,f,o,5526.315789473684
subj63,m,a,4263.157894736842
subj21,f,a,6157.894736842105
subj6,f,e,4894.736842105263
subj59,m,e,4263.157894736842
subj20,m,a,5315.78947368421
subj62,m,u,4052.6315789473683
subj80,m,o,4263.157894736842
subj32,f,u,5105.263157894737
subj62,m,o,4052.6315789473683
subj79,m,i,3000.0
subj36,f,a,5947.368421052632
subj66,m,u,3210.5263157894738
subj51,f,o,5315.78947368421
subj34,f,o,7000.0
subj37,f,o,5947.368421052632
subj24,m,o,3842.1052631578946
subj46,f,i,6578.9473684210525
subj24,m,o,3842.1052631578946
subj18,f,u,5315.78947368421
